
01/04/2010,07:41:00,EDB0714,PC-6103,Logon ; 01/04/2010,16:55:00,EDB0714,PC-6103,Logoff
01/05/2010,07:55:00,EDB0714,PC-6103,Logon ; 01/05/2010,16:35:00,EDB0714,PC-6103,Logoff
01/06/2010,07:49:00,EDB0714,PC-6103,Logon ; 01/06/2010,16:58:00,EDB0714,PC-6103,Logoff
01/07/2010,07:45:00,EDB0714,PC-6103,Logon ; 01/07/2010,16:39:00,EDB0714,PC-6103,Logoff
01/08/2010,07:51:00,EDB0714,PC-6103,Logon ; 01/08/2010,16:51:00,EDB0714,PC-6103,Logoff
01/11/2010,07:35:00,EDB0714,PC-6103,Logon ; 01/11/2010,16:52:00,EDB0714,PC-6103,Logoff
01/12/2010,07:45:00,EDB0714,PC-6103,Logon ; 01/12/2010,16:39:00,EDB0714,PC-6103,Logoff
01/13/2010,07:52:00,EDB0714,PC-6103,Logon ; 01/13/2010,16:45:00,EDB0714,PC-6103,Logoff
01/14/2010,07:33:00,EDB0714,PC-6103,Logon ; 01/14/2010,17:00:00,EDB0714,PC-6103,Logoff
01/15/2010,07:53:00,EDB0714,PC-6103,Logon ; 01/15/2010,16:43:00,EDB0714,PC-6103,Logoff
01/18/2010,07:52:00,EDB0714,PC-6103,Logon ; 01/18/2010,16:48:00,EDB0714,PC-6103,Logoff
01/19/2010,07:43:00,EDB0714,PC-6103,Logon ; 01/19/2010,16:46:00,EDB0714,PC-6103,Logoff
01/20/2010,07:42:00,EDB0714,PC-6103,Logon ; 01/20/2010,16:57:00,EDB0714,PC-6103,Logoff
01/21/2010,07:55:00,EDB0714,PC-6103,Logon ; 01/21/2010,16:35:00,EDB0714,PC-6103,Logoff
01/22/2010,07:31:00,EDB0714,PC-6103,Logon ; 01/22/2010,16:56:00,EDB0714,PC-6103,Logoff
01/25/2010,07:32:00,EDB0714,PC-6103,Logon ; 01/25/2010,16:56:00,EDB0714,PC-6103,Logoff
01/26/2010,07:55:00,EDB0714,PC-6103,Logon ; 01/26/2010,16:36:00,EDB0714,PC-6103,Logoff
01/27/2010,07:34:00,EDB0714,PC-6103,Logon ; 01/27/2010,16:49:00,EDB0714,PC-6103,Logoff
01/28/2010,07:36:00,EDB0714,PC-6103,Logon ; 01/28/2010,16:39:00,EDB0714,PC-6103,Logoff
01/29/2010,07:55:00,EDB0714,PC-6103,Logon ; 01/29/2010,16:36:00,EDB0714,PC-6103,Logoff
02/01/2010,07:52:00,EDB0714,PC-6103,Logon ; 02/01/2010,16:37:00,EDB0714,PC-6103,Logoff
02/02/2010,07:51:00,EDB0714,PC-6103,Logon ; 02/02/2010,16:42:00,EDB0714,PC-6103,Logoff
02/03/2010,07:52:00,EDB0714,PC-6103,Logon ; 02/03/2010,16:43:00,EDB0714,PC-6103,Logoff
02/04/2010,07:50:00,EDB0714,PC-6103,Logon ; 02/04/2010,16:36:00,EDB0714,PC-6103,Logoff
02/05/2010,07:32:00,EDB0714,PC-6103,Logon ; 02/05/2010,16:37:00,EDB0714,PC-6103,Logoff
02/08/2010,07:33:00,EDB0714,PC-6103,Logon ; 02/08/2010,16:52:00,EDB0714,PC-6103,Logoff
02/09/2010,07:50:00,EDB0714,PC-6103,Logon ; 02/09/2010,16:41:00,EDB0714,PC-6103,Logoff
02/10/2010,07:52:00,EDB0714,PC-6103,Logon ; 02/10/2010,16:37:00,EDB0714,PC-6103,Logoff
02/11/2010,07:34:00,EDB0714,PC-6103,Logon ; 02/11/2010,16:38:00,EDB0714,PC-6103,Logoff
02/12/2010,07:47:00,EDB0714,PC-6103,Logon ; 02/12/2010,16:38:00,EDB0714,PC-6103,Logoff
02/15/2010,07:43:00,EDB0714,PC-6103,Logon ; 02/15/2010,16:59:00,EDB0714,PC-6103,Logoff
02/16/2010,07:47:00,EDB0714,PC-6103,Logon ; 02/16/2010,16:38:00,EDB0714,PC-6103,Logoff
02/17/2010,07:37:00,EDB0714,PC-6103,Logon ; 02/17/2010,16:51:00,EDB0714,PC-6103,Logoff
02/18/2010,07:40:00,EDB0714,PC-6103,Logon ; 02/18/2010,17:00:00,EDB0714,PC-6103,Logoff
02/19/2010,07:33:00,EDB0714,PC-6103,Logon ; 02/19/2010,16:48:00,EDB0714,PC-6103,Logoff
02/22/2010,07:40:00,EDB0714,PC-6103,Logon ; 02/22/2010,16:50:00,EDB0714,PC-6103,Logoff
02/23/2010,07:39:00,EDB0714,PC-6103,Logon ; 02/23/2010,16:43:00,EDB0714,PC-6103,Logoff
02/24/2010,07:45:00,EDB0714,PC-6103,Logon ; 02/24/2010,16:42:00,EDB0714,PC-6103,Logoff
02/25/2010,07:54:00,EDB0714,PC-6103,Logon ; 02/25/2010,16:42:00,EDB0714,PC-6103,Logoff
02/26/2010,07:40:00,EDB0714,PC-6103,Logon ; 02/26/2010,16:55:00,EDB0714,PC-6103,Logoff
03/01/2010,07:31:00,EDB0714,PC-6103,Logon ; 03/01/2010,16:59:00,EDB0714,PC-6103,Logoff
